entry_ts,exit_ts,side,entry,exit,reason,pnl%
2026-01-30 00:00:00+00:00,2026-02-02 00:00:00+00:00,S,82676.4,75502.5,TP,8.527
2026-02-06 12:00:00+00:00,2026-02-09 08:00:00+00:00,L,68626.0,68928.7,REV,0.291
2026-02-09 08:00:00+00:00,2026-02-13 08:00:00+00:00,S,68928.7,67171.4,REV,2.399
2026-02-13 08:00:00+00:00,2026-02-24 04:00:00+00:00,L,67171.4,62882.3,SL,-6.535
2026-02-24 12:00:00+00:00,2026-02-25 16:00:00+00:00,L,63974.0,69251.4,TP,8.099
2026-03-02 12:00:00+00:00,2026-03-03 00:00:00+00:00,L,69130.2,68377.9,REV,-1.238
2026-03-03 00:00:00+00:00,2026-03-04 12:00:00+00:00,S,68377.9,72759.4,SL,-6.558
2026-03-05 04:00:00+00:00,2026-03-10 08:00:00+00:00,S,72055.5,70580.9,REV,1.896
2026-03-10 08:00:00+00:00,2026-03-18 08:00:00+00:00,L,70580.9,72952.8,REV,3.211
2026-03-18 08:00:00+00:00,2026-03-22 20:00:00+00:00,S,72952.8,67490.3,TP,7.338
2026-03-24 12:00:00+00:00,2026-03-28 12:00:00+00:00,S,69873.0,67014.9,REV,3.94
2026-03-28 12:00:00+00:00,2026-04-02 00:00:00+00:00,L,67014.9,66576.2,REV,-0.805
2026-04-02 00:00:00+00:00,2026-04-05 12:00:00+00:00,S,66576.2,67306.6,REV,-1.247
2026-04-05 12:00:00+00:00,2026-04-07 20:00:00+00:00,L,67306.6,70536.8,TP,4.649
2026-04-12 00:00:00+00:00,2026-04-13 20:00:00+00:00,S,71593.2,74345.7,SL,-3.995
2026-04-14 12:00:00+00:00,2026-04-18 16:00:00+00:00,L,75317.1,75649.8,REV,0.292
2026-04-18 16:00:00+00:00,2026-04-19 12:00:00+00:00,S,75649.8,75846.6,REV,-0.41
2026-04-19 12:00:00+00:00,2026-04-27 12:00:00+00:00,L,75846.6,76793.1,REV,1.098
2026-04-27 12:00:00+00:00,2026-05-01 08:00:00+00:00,S,76793.1,77464.0,REV,-1.024
2026-05-01 08:00:00+00:00,2026-05-05 04:00:00+00:00,L,77464.0,81227.1,TP,4.708
2026-05-05 20:00:00+00:00,2026-05-06 08:00:00+00:00,S,80905.5,82522.9,REV,-2.149
2026-05-06 08:00:00+00:00,2026-05-07 12:00:00+00:00,L,82522.9,79803.6,SL,-3.445
2026-05-08 08:00:00+00:00,2026-05-12 00:00:00+00:00,L,80231.2,81058.8,REV,0.881
2026-05-12 00:00:00+00:00,2026-05-14 12:00:00+00:00,S,81058.8,81301.2,REV,-0.449
2026-05-14 12:00:00+00:00,2026-05-15 12:00:00+00:00,L,81301.2,79150.3,REV,-2.796
2026-05-15 12:00:00+00:00,2026-05-23 04:00:00+00:00,S,79150.3,74532.6,TP,5.684
