sheet,slot,id,pair,strategy,side,entry_pct,step,orders,size,max_size,mult,target,tp,profit,realized,unrealized,volume,note
2026-05-12/047,2,6207291209,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,200,1.3,1.0,100,0.18753,0.18755,-0.0000183,2728500,
2026-05-12/047,3,5218406474,BTCUSD-инв,INDICATOR,Long,-1.5,0.04,5000,100,300,1.3,1.0,100,0.28070,0.28072,-0.0000289,4081700,
2026-05-12/047,4,4469876762,BTCUSD-инв,INDICATOR,Long,-0.7,0.04,5000,100,300,1.3,0.9,0,0.28900,0.28903,-0.0000214,4388400,
2026-05-12/049,1,5317761136,BTCUSD-инв,INDICATOR,Long,-0.7,0.05,5000,100,300,1.3,0.5,0,0.19080,0.19083,-0.0000348,5884900,
2026-05-12/049,2,5317761136,BTCUSD-инв,INDICATOR,Long,-0.7,0.05,5000,100,300,1.3,0.5,0,0.19080,0.19083,-0.0000348,5884900,дубль
2026-05-12/049,3,5354355802,BTCUSD-инв,INDICATOR,Long,-1.0,0.04,5000,100,300,1.3,0.4,50,0.22908,0.22915,-0.0000757,8976400,
2026-05-12/049,4,6033239748,BTCUSD-инв,INDICATOR,Long,-0.7,0.04,5000,100,300,1.3,0.5,0,0.03102,0.03106,-0.0000389,1009000,
2026-05-12/051,1,6203942125,BTCUSD-инв,INDICATOR,Long,-0.3,0.03,5000,100,400,1.2,0.25,0,0.31941,0.31949,-0.0000778,22279500,
2026-05-12/051,2,5011655703,BTCUSD-инв,INDICATOR,Long,-0.3,0.04,5000,100,300,1.2,0.25,50,0.18587,0.18593,-0.0000606,12989600,
2026-05-12/051,3,6257617170,BTCUSD-инв,INDICATOR,Long,-0.3,0.02,5000,100,200,1.2,0.25,10,0.24340,0.24352,-0.0001191,16842800,
2026-05-12/051,4,5383186048,BTCUSD-инв,INDICATOR,Long,-0.3,0.04,5000,100,300,1.2,0.25,50,0.18564,0.18572,-0.0000731,12985300,
2026-05-12/053,1,5318700737,BTCUSD-инв,INDICATOR,Long,-0.3,0.05,5000,100,300,1.2,0.8,0,0.26491,0.26499,-0.0000779,4927200,
2026-05-12/053,2,6037944981,BTCUSD-инв,INDICATOR,Long,-0.3,0.04,5000,100,300,1.2,0.7,0,0.26558,0.26563,-0.0000523,5606000,
2026-05-12/053,3,5113642929,BTCUSD-инв,INDICATOR,Long,-0.3,0.03,5000,100,300,1.3,0.9,0,0.37808,0.37811,-0.0000333,6135400,ЛУЧШИЙ лонг архива
2026-05-12/053,4,4715172188,BTCUSD-инв,INDICATOR,Long,-0.3,0.04,5000,100,300,1.3,0.9,0,0.26937,0.26941,-0.0000214,4390200,
2026-05-13/002,1,5248745524,BTCUSDT,INDICATOR,Short,1.5,0.03,5000,0.002,0.004,1.3,0.35,170,4566.02,4566.02,0,5945093,мешок ноль
2026-05-13/002,2,4543544829,BTCUSD-инв,INDICATOR,Long,-0.3,0.04,5000,100,300,1.2,0.9,0,0.27683,0.27689,-0.0000386,4499000,
2026-05-13/002,3,6017436038,BTCUSDT,INDICATOR,Short,1.5,0.03,5000,0.002,0.004,1.3,0.35,170,4569.29,4569.29,0,5962956,мешок ноль
2026-05-13/002,4,5528771916,BTCUSDT,INDICATOR,Short,1.5,0.03,5000,0.002,0.004,1.3,0.35,175,4753.11,4753.11,0,5973635,мешок ноль
2026-05-13/004,2,5187050460,BTCUSDT,INDICATOR,Short,1.5,0.03,5000,0.002,0.004,1.3,0.35,200,4811.94,4811.94,0,6181699,мешок ноль
2026-05-13/004,3,5468038571,BTCUSDT,INDICATOR,Short,0.7,0.02,5000,0.001,0.003,1.3,0.21,12,2362.12,2466.13,-104.01,13659670,
2026-05-13/004,4,4543403488,BTCUSDT,INDICATOR,Short,0.7,0.02,5000,0.001,0.003,1.3,0.21,13,2488.08,2592.07,-103.99,13700381,
2026-05-13/006,1,5598009257,BTCUSD-инв,INDICATOR,Long,-0.3,0.04,5000,100,300,1.2,0.9,0,0.27537,0.27544,-0.0000727,4500500,
2026-05-13/006,2,5923860640,BTCUSD-инв,INDICATOR,Long,-0.3,0.04,5000,100,300,1.2,0.9,0,0.27746,0.27751,-0.0000473,4501200,
2026-05-13/006,3,4506433235,BTCUSDT,INDICATOR,Short,0.7,0.02,5000,0.001,0.003,1.3,0.21,12,2068.11,2155.12,-87.02,13991223,
2026-05-13/006,4,4958821239,BTCUSD-инв,INDICATOR,Long,-0.3,0.04,5000,100,300,1.2,0.9,0,0.27566,0.27573,-0.0000737,4496900,
