sheet,slot,id,window,equity_trough,position_extreme,unit,note
2026-05-13/008,2,6064034130,10.02-08.05,-1200,-0.7,USDT,SHORT шаг 0.05 таргет 0.6 тейк 270
2026-05-13/008,3,6251205571,10.02-08.05,-1200,-0.7,USDT,SHORT шаг 0.05 таргет 0.6 мин.стоп 0.012
2026-05-13/008,4,4626049409,10.02-08.05,-1200,-0.7,USDT,SHORT шаг 0.05 таргет 0.6 макс.стоп 0.06
2026-05-13/009,1,5849284455,10.02-08.05,-1200,-0.7,USDT,SHORT шаг 0.05 таргет 0.6 мин.стоп 0.018
2026-05-18/001,1,4650133404,05.02-05.05,-0.045,40000,BTC,инверс LONG вход -0.3% инстоп 0.005
2026-05-18/001,2,4680229157,05.02-05.05,-0.03,40000,BTC,инверс LONG вход -0.15%
2026-05-18/001,3,5597153426,05.02-05.05,-0.045,40000,BTC,инверс LONG вход -0.2%
2026-05-18/001,4,5841339937,05.02-05.05,-0.045,40000,BTC,инверс LONG вход -0.5%
2026-05-18/002,1,5906037284,05.02-05.05,-0.045,40000,BTC,инверс LONG вход -0.4%
2026-05-18/002,3,4349798286,05.02-05.05,-0.06,60000,BTC,инверс LONG шаг 0.015
2026-05-18/002,4,6353165379,05.02-05.05,-0.1,40000,BTC,инверс LONG шаг 0.01
2026-05-18/003,1,5752394544,05.02-05.05,-0.03,30000,BTC,инверс LONG шаг 0.025
2026-05-18/003,2,5375918023,05.02-05.05,-0.025,30000,BTC,инверс LONG шаг 0.03
2026-05-18/003,4,5745342191,05.02-05.05,-0.045,40000,BTC,инверс LONG шаг 0.02
2026-05-18/004,1,4717593259,05.02-05.05,-0.04,40000,BTC,инверс LONG тейк 2
2026-05-18/004,2,4466656940,05.02-05.05,-0.04,40000,BTC,инверс LONG тейк 5
2026-05-18/004,3,4435918371,05.02-05.05,-0.04,40000,BTC,инверс LONG тейк 8
2026-05-18/005,1,5195601276,05.02-05.05,-0.04,40000,BTC,инверс LONG инстоп 0.003
2026-05-18/005,2,4465226081,05.02-05.05,-0.04,40000,BTC,инверс LONG инстоп 0.008
2026-05-18/005,3,4476412604,05.02-05.05,-0.04,40000,BTC,инверс LONG инстоп 0.003
2026-05-18/005,4,5521267061,10.02-10.05,-14000,-2.5,USDT,SHORT МИНУС -8388 мешок -11672
2026-05-18/006,3,5076924295,10.02-10.05,-12000,-2.2,USDT,SHORT МИНУС -9016 мешок -12298
2026-05-18/006,4,6108982218,10.02-10.05,-4000,-0.9,USDT,SHORT МИНУС -2612 мешок -3863
2026-05-18/007,1,6074697066,10.02-10.05,-12500,-1.9,USDT,МИНУС -8957 вход 0.3% мульт 1.1
2026-05-18/007,2,4794061720,10.02-10.05,-4000,-0.9,USDT,МИНУС -2623 вход 0.3% мульт 1
2026-05-18/007,3,6259455012,10.02-10.05,-12500,-1.9,USDT,МИНУС -8213 мульт 1.2
2026-05-18/007,4,4833344942,10.02-10.05,-12500,-1.9,USDT,МИНУС -7970 мульт 1.2
2026-05-18/008,1,4619755562,10.02-10.05,-5000,-0.85,USDT,МИНУС -3100 вход 0.4%
2026-05-18/008,3,4619755562,10.02-10.05,-5000,-0.85,USDT,повтор
2026-05-18/008,4,4354726958,10.02-10.05,-4200,-0.8,USDT,МИНУС -2791 вход 0.5%
2026-05-18/009,1,4804019966,10.02-10.05,-3800,-0.85,USDT,МИНУС -2622 вход 0.5%
2026-05-18/009,2,5685230335,10.02-10.05,-5000,-0.85,USDT,МИНУС -3106 вход 0.4%
2026-05-18/009,3,5279827795,10.02-10.05,-2000,-0.55,USDT,+425 вход 1% ПЛЮС
2026-05-18/009,4,6347205022,10.02-10.05,-4200,-0.85,USDT,МИНУС -2867 вход 0.7%
2026-05-18/010,1,5308977431,10.02-10.05,-2000,-0.55,USDT,+449 вход 1%
