ts_utc,bot_id,bot_name,alias,status,position,profit,current_profit,in_filled_count,in_filled_qty,out_filled_count,out_filled_qty,trigger_count,trigger_qty,average_price,trade_volume,balance,liquidation_price,schema_version
2026-06-10T09:01:05+00:00,5693279219,SOL,,2,3,0.916009,-0.9543246500000001,4,,1,,3,,63.8191304347826,1071.612,7524.227078,0,3
2026-06-10T09:01:05+00:00,5617871752,WLD,,2,0,3.300816,-5.4826635,12,,4,,8,,0,2392.4700000000003,7524.227078,0,3
2026-06-10T09:01:05+00:00,4306550166,XRP,,2,0,0,-0.224004,4,,0,,4,,0,265.88,7524.227078,0,3
2026-06-10T09:02:05+00:00,5693279219,SOL,,2,3,0.916009,-0.9543246500000001,4,,1,,3,,63.8191304347826,1071.612,7524.227078,0,3
2026-06-10T09:02:05+00:00,5617871752,WLD,,2,0,3.300816,-5.4826635,12,,4,,8,,0,2392.4700000000003,7524.227078,0,3
2026-06-10T09:02:05+00:00,4306550166,XRP,,2,0,0,-0.224004,4,,0,,4,,0,265.88,7524.227078,0,3
2026-06-10T09:03:05+00:00,5693279219,SOL,,2,3,0.916009,-0.9543246500000001,4,,1,,3,,63.8191304347826,1071.612,7524.227078,0,3
2026-06-10T09:03:05+00:00,5617871752,WLD,,2,0,3.300816,-5.4826635,12,,4,,8,,0,2392.4700000000003,7524.227078,0,3
2026-06-10T09:03:05+00:00,4306550166,XRP,,2,0,0,-0.224004,4,,0,,4,,0,265.88,7524.227078,0,3
2026-06-10T09:04:05+00:00,5693279219,SOL,,2,3,0.916009,-0.9543246500000001,4,,1,,3,,63.8191304347826,1071.612,7524.227078,0,3
2026-06-10T09:04:05+00:00,5617871752,WLD,,2,0,3.300816,-5.4826635,12,,4,,8,,0,2392.4700000000003,7524.227078,0,3
2026-06-10T09:04:05+00:00,4306550166,XRP,,2,0,0,-0.224004,4,,0,,4,,0,265.88,7524.227078,0,3
2026-06-10T09:05:06+00:00,5693279219,SOL,,2,3,0.916009,-0.9543246500000001,4,,1,,3,,63.8191304347826,1071.612,7524.227078,0,3
2026-06-10T09:05:06+00:00,5617871752,WLD,,2,0,3.300816,-5.4826635,12,,4,,8,,0,2392.4700000000003,7524.227078,0,3
2026-06-10T09:05:06+00:00,4306550166,XRP,,2,0,0,-0.224004,4,,0,,4,,0,265.88,7524.227078,0,3
2026-06-10T09:06:06+00:00,5693279219,SOL,,2,3,0.916009,-0.9543246500000001,4,,1,,3,,63.8191304347826,1071.612,7524.227078,0,3
2026-06-10T09:06:06+00:00,5617871752,WLD,,2,0,3.300816,-5.4826635,12,,4,,8,,0,2392.4700000000003,7524.227078,0,3
2026-06-10T09:06:06+00:00,4306550166,XRP,,2,0,0,-0.2239956,4,,0,,4,,0,265.88,7524.430787,0,3
2026-06-10T09:07:06+00:00,5693279219,SOL,,2,3,0.916009,-0.9543246500000001,4,,1,,3,,63.8191304347826,1071.612,7524.227078,0,3
