direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
up,1722953100000,2024-08-06T14:05:00.000000000,55905.49,1.639,1,2.49,462.4,0.5085,1.718,151.3459,-2.8e-05,0.673,-166.9,0.5423,0.792,-228.0,0.5159,0.394,-784.1,0.5257,0.58,-766.2,0.5073,1.938,-1,13,trend,1.307
down,1723041540000,2024-08-07T14:39:00.000000000,55702.01,-1.554,1,3.47,187.8,0.4649,1.615,101.7021,-6.9e-05,0.413,48.7,0.4981,0.707,-304.5,0.5032,0.988,-45.1,0.488,0.485,-22.3,0.4951,-1.784,9,220,whipsaw,-4.674
up,1723079520000,2024-08-08T01:12:00.000000000,55816.0,1.528,2,1.46,194.4,0.5849,1.935,40.589,2.6e-05,-0.211,1.4,0.4925,-0.054,256.6,0.5763,0.276,548.9,0.5699,2.411,-7.7,0.5472,3.261,-1,32,trend,9.37
up,1723120440000,2024-08-08T12:34:00.000000000,58382.01,1.821,2,3.2,370.1,0.4433,1.475,70.4748,3.1e-05,-0.334,-812.6,0.5427,-0.886,-971.5,0.5055,-0.766,-942.3,0.5061,-1.363,95.0,0.5012,2.537,8,143,whipsaw,3.434
down,1723124820000,2024-08-08T13:47:00.000000000,57196.97,-1.607,1,2.96,-112.7,0.475,2.005,105.9286,3.1e-05,-0.361,-383.6,0.4411,0.421,-995.2,0.526,1.218,-1244.7,0.4847,2.68,-528.0,0.5051,-0.869,30,-1,whipsaw,-4.807
up,1723153560000,2024-08-08T21:46:00.000000000,60758.04,1.806,2,2.7,-1413.9,0.5139,1.57,81.5545,1.1e-05,-0.135,-316.7,0.4923,0.124,-384.6,0.4938,-0.119,-286.6,0.4883,0.781,187.5,0.5121,3.271,-1,61,trend,-1.018
up,1723212240000,2024-08-09T14:04:00.000000000,61085.96,1.712,2,4.26,-560.0,0.5018,1.591,122.4252,2.2e-05,-0.836,-145.3,0.4195,-0.881,-220.7,0.5088,-2.178,-626.9,0.4884,-0.858,-737.5,0.5206,0.048,5,-1,whipsaw,-1.057
down,1723213980000,2024-08-09T14:33:00.000000000,59671.02,-2.179,1,3.96,-626.9,0.4921,1.641,136.61,2.2e-05,-0.075,-256.3,0.506,0.847,203.1,0.5556,1.26,-110.6,0.5411,1.115,-180.0,0.537,-0.228,19,-1,whipsaw,-1.53
down,1723407120000,2024-08-11T20:12:00.000000000,58837.15,-1.532,1,10.65,-346.8,0.4075,1.791,79.1531,1.2e-05,0.229,163.5,0.4892,-0.39,431.4,0.4721,-0.105,443.1,0.4803,-0.491,1042.1,0.4923,-0.935,-1,-1,partial,-0.634
up,1723448760000,2024-08-12T07:46:00.000000000,58784.1,1.542,1,6.76,708.7,0.519,1.506,130.7614,1.1e-05,-0.05,44.7,0.509,0.017,356.1,0.5763,-0.007,571.0,0.5661,-0.283,624.3,0.5379,1.833,102,202,whipsaw,0.837
down,1723470060000,2024-08-12T13:41:00.000000000,58908.85,-1.501,2,2.3,-701.9,0.4294,1.472,73.1214,8.8e-05,-0.294,-256.4,0.4957,-1.227,-511.5,0.4694,-0.443,317.9,0.5002,2.553,-374.6,0.5262,-1.882,33,7,trend,-0.41
up,1723472340000,2024-08-12T14:19:00.000000000,59286.15,1.505,2,7.65,187.1,0.5185,1.76,135.2793,8.8e-05,0.537,-134.4,0.5831,1.04,-329.1,0.5549,1.595,-714.0,0.5299,1.791,-457.7,0.5205,2.403,-1,15,trend,0.468
up,1723567260000,2024-08-13T16:41:00.000000000,60585.62,1.555,1,4.8,131.8,0.515,2.072,55.5493,-3.9e-05,0.268,542.6,0.5242,0.8,340.8,0.5312,1.297,598.4,0.5077,1.467,1264.2,0.4697,1.638,-1,19,trend,-2.601
down,1723643340000,2024-08-14T13:49:00.000000000,59943.99,-1.519,1,4.76,-512.8,0.4252,1.817,65.5114,-1.3e-05,-0.214,324.5,0.4387,-0.704,468.8,0.4324,-1.234,-253.8,0.4386,-0.96,-355.5,0.49,-2.217,-1,13,trend,1.168
down,1723744920000,2024-08-15T18:02:00.000000000,58239.22,-1.815,2,4.52,-923.1,0.3984,1.717,45.7552,-6.2e-05,0.115,-706.3,0.4457,-0.598,-1110.8,0.4396,-1.114,-933.9,0.4533,-0.497,-164.5,0.4762,-3.71,-1,17,trend,-1.958
up,1723775940000,2024-08-16T02:39:00.000000000,58247.88,1.514,1,2.79,-557.3,0.5447,1.71,68.6414,-0.000112,-0.193,-1.9,0.4612,-0.2,169.9,0.4666,-0.098,506.4,0.5158,-0.549,599.6,0.5012,0.341,-1,-1,partial,1.602
up,1723814160000,2024-08-16T13:16:00.000000000,58864.0,1.732,1,2.72,403.2,0.5566,1.345,92.0379,-7.4e-05,-0.409,-725.0,0.4892,-0.711,-402.9,0.4521,-0.644,-117.1,0.43,-1.114,-297.8,0.4489,0.087,0,-1,whipsaw,0.834
up,1724113800000,2024-08-20T00:30:00.000000000,60410.0,1.632,1,6.52,-1365.9,0.5446,1.648,62.0986,-2.7e-05,0.2,-76.5,0.6081,-0.328,127.0,0.422,0.187,-40.8,0.5197,0.3,203.1,0.5285,0.977,-1,-1,partial,-2.043
down,1724163900000,2024-08-20T14:25:00.000000000,59921.99,-1.551,1,6.48,-95.9,0.4115,1.44,133.4066,1.3e-05,-0.108,320.4,0.5147,-0.273,461.1,0.5427,-0.551,914.2,0.5023,-1.313,-770.9,0.5014,-2.293,-1,35,trend,0.576
up,1724249400000,2024-08-21T14:10:00.000000000,60133.94,1.563,1,11.21,-578.4,0.5236,1.922,116.8452,-6e-06,-0.984,-183.9,0.4369,-0.926,-203.0,0.489,-0.537,-184.2,0.5143,-1.121,321.1,0.5057,0.113,4,-1,whipsaw,0.597
down,1724295120000,2024-08-22T02:52:00.000000000,59776.07,-1.636,1,4.17,-444.4,0.3852,1.468,61.3321,-2.2e-05,0.672,-976.8,0.549,0.763,-799.8,0.5335,0.897,-580.3,0.4918,1.176,-539.3,0.4856,-0.086,21,-1,whipsaw,-1.538
up,1724422380000,2024-08-23T14:13:00.000000000,62007.87,1.664,1,12.64,412.6,0.5751,1.764,59.9831,2.4e-05,-0.845,-215.1,0.5577,-0.08,-317.4,0.5717,-0.602,-102.8,0.5294,-1.315,-407.3,0.502,2.029,34,214,whipsaw,3.415
down,1724424780000,2024-08-23T14:53:00.000000000,60881.47,-1.515,1,12.74,-79.3,0.4812,1.8,118.329,2.4e-05,0.165,547.1,0.5025,0.612,498.9,0.539,0.798,641.0,0.5411,1.069,1836.7,0.5263,-0.128,40,-1,whipsaw,-5.373
up,1724435280000,2024-08-23T17:48:00.000000000,62800.01,1.59,1,8.42,-313.6,0.5531,1.813,45.0176,-4.3e-05,0.041,-1093.6,0.5389,0.594,-1265.7,0.5772,0.478,-642.2,0.5489,0.873,400.0,0.5396,3.148,-1,84,trend,2.11
up,1724448000000,2024-08-23T21:20:00.000000000,64537.17,1.504,1,4.08,-294.1,0.5146,1.521,48.0921,-4.3e-05,-0.198,-3110.4,0.5242,-0.174,-2663.2,0.5325,-0.317,-2589.1,0.5251,-0.391,-2391.3,0.5076,0.647,98,-1,whipsaw,-0.623
down,1724794680000,2024-08-27T21:38:00.000000000,60805.0,-1.715,2,5.34,-2664.9,0.3984,1.334,125.7938,7.8e-05,0.61,-854.0,0.4973,-0.712,-2099.7,0.427,-1.383,-1791.2,0.4449,-2.873,-5852.4,0.4542,-4.557,-1,10,trend,2.313
