direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
down,1720399620000,2024-07-08T00:47:00.000000000,0.41,-1.644,1,8.05,772903.0,0.4825,1.669,0.0008,2.3e-05,-0.048,-611685.0,0.5054,-1.138,192180.0,0.474,-2.228,-283969.0,0.4757,-1.187,-2262507.0,0.5011,-2.349,225,15,trend,-4.069
up,1720404180000,2024-07-08T02:03:00.000000000,0.41,2.001,1,5.74,-702621.0,0.5344,1.662,0.0007,2.3e-05,-0.509,-115068.0,0.5109,-0.484,-826895.0,0.4834,0.823,-949739.0,0.4901,0.727,-678656.0,0.4711,1.962,-1,149,trend,3.512
up,1720427340000,2024-07-08T08:29:00.000000000,0.43,1.538,1,2.87,-776070.0,0.554,1.831,0.0005,-8.4e-05,0.07,237853.0,0.5075,0.606,701158.0,0.5094,1.305,3790623.0,0.4958,1.561,4730307.0,0.4746,2.866,-1,20,trend,1.398
up,1720438080000,2024-07-08T11:28:00.000000000,0.44,1.506,1,2.9,3637854.0,0.4277,2.045,0.0004,-8.4e-05,0.114,-640928.0,0.4453,0.502,-294823.0,0.478,0.274,-840667.0,0.477,0.639,-1557526.0,0.4719,1.301,179,83,trend,-0.616
down,1720448880000,2024-07-08T14:28:00.000000000,0.43,-1.666,2,2.61,-1036827.0,0.4561,1.607,0.0007,-8.4e-05,-1.926,-1589580.0,0.4658,0.0,-1412549.0,0.492,0.162,-3577135.0,0.4853,0.139,-3575044.0,0.4815,-2.344,-1,3,trend,-0.58
up,1720450980000,2024-07-08T15:03:00.000000000,0.43,1.68,1,8.23,-1533070.0,0.4837,1.831,0.0013,-8.4e-05,0.465,470582.0,0.5069,0.605,-642172.0,0.5096,0.465,-122890.0,0.4794,-1.21,1939172.0,0.503,1.164,34,9,trend,0.419
down,1720713060000,2024-07-11T15:51:00.000000000,0.44,-1.525,1,4.03,-4297143.0,0.4732,2.067,0.0005,0.0001,0.114,-81846.0,0.5483,0.228,-206495.0,0.5054,0.569,-305229.0,0.4732,1.162,-2229789.0,0.4575,-0.091,42,-1,whipsaw,-4.966
up,1720748940000,2024-07-12T01:49:00.000000000,0.45,1.527,1,2.99,-1875748.0,0.6225,1.5,0.0006,0.0001,-0.133,-296835.0,0.5544,-0.155,176021.0,0.4353,-0.243,543033.0,0.4179,-0.111,1408807.0,0.5069,0.597,-1,-1,partial,5.882
up,1720771080000,2024-07-12T07:58:00.000000000,0.46,1.512,3,4.89,-1229070.0,0.5774,1.431,0.0005,0.0001,-0.173,-899903.0,0.531,0.561,-1328784.0,0.5413,0.151,-3111449.0,0.5041,0.734,-3470510.0,0.5139,3.173,-1,68,trend,11.051
down,1720778880000,2024-07-12T10:08:00.000000000,0.46,-1.616,1,8.52,4416553.0,0.5104,1.611,0.0016,5.6e-05,-0.022,732301.0,0.4158,-0.173,764360.0,0.4026,1.404,-1701987.0,0.4228,1.858,-225361.0,0.4492,-0.583,18,-1,whipsaw,-10.566
up,1720823100000,2024-07-12T22:25:00.000000000,0.48,1.553,1,1.7,-2220776.0,0.6593,1.817,0.0005,0.0001,-0.063,969900.0,0.5776,-0.189,643357.0,0.4996,-0.461,930515.0,0.4742,-0.293,1404077.0,0.502,0.859,-1,-1,partial,10.727
up,1720841460000,2024-07-13T03:31:00.000000000,0.49,1.668,2,3.76,2532499.0,0.5039,1.488,0.0007,-4.8e-05,-0.385,387260.0,0.5164,-0.041,3598387.0,0.5194,-0.405,6240350.0,0.5088,0.466,9879978.0,0.5312,3.991,-1,71,trend,5.774
up,1720883520000,2024-07-13T15:12:00.000000000,0.53,1.592,1,3.66,-1006110.0,0.5717,2.133,0.0008,4.7e-05,-0.189,5030465.0,0.5555,0.302,1482372.0,0.5528,1.435,3741351.0,0.5555,2.115,6507708.0,0.5286,3.173,-1,23,trend,0.378
down,1720888920000,2024-07-13T16:42:00.000000000,0.53,-1.738,1,3.68,945057.0,0.4804,1.914,0.0009,0.0001,0.32,-4036246.0,0.5645,0.245,-3665560.0,0.4523,0.508,-1706119.0,0.4766,1.43,-1176286.0,0.4923,-0.132,52,-1,whipsaw,0.019
up,1720897380000,2024-07-13T19:03:00.000000000,0.54,1.569,1,1.37,-1557630.0,0.5542,1.794,0.0006,0.0001,0.276,-3119707.0,0.5367,0.368,-2283744.0,0.5264,0.828,-1567605.0,0.5452,2.115,1084516.0,0.5418,4.12,104,30,trend,-2.17
