direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
down,1721856660000,2024-07-24T21:31:00.000000000,3313.26,-1.844,1,8.63,-10700.8,0.4353,1.606,6.8421,6.7e-05,0.609,3073.5,0.5232,0.706,1818.2,0.4421,0.56,5937.6,0.4679,0.532,6828.6,0.4707,-3.804,-1,215,trend,4.155
down,1721869620000,2024-07-25T01:07:00.000000000,3264.74,-1.965,2,6.29,-2111.6,0.4293,1.646,2.5234,9.5e-05,-0.243,-10715.2,0.4662,-1.38,-18512.2,0.4723,-1.456,-18993.0,0.4799,-1.713,-18755.3,0.5163,-4.127,-1,2,trend,1.848
up,1721918280000,2024-07-25T14:38:00.000000000,3175.39,1.754,1,3.55,-5341.2,0.5414,1.704,5.0017,2e-06,-0.15,-8254.6,0.5861,-0.089,-3229.1,0.5377,-0.636,-3936.2,0.5068,-1.032,-7034.2,0.5219,0.088,49,-1,whipsaw,1.813
up,1721941440000,2024-07-25T21:04:00.000000000,3158.71,1.521,1,1.64,-3625.8,0.572,1.75,3.3503,3.7e-05,0.028,862.9,0.4521,0.344,-2652.4,0.4692,0.294,-11262.6,0.4731,0.765,-16687.8,0.4956,1.26,-1,20,trend,2.993
up,1721961000000,2024-07-26T02:30:00.000000000,3236.02,1.528,1,1.99,-113.3,0.6225,1.408,3.4276,3.9e-05,-0.396,339.3,0.5362,-0.153,2668.8,0.5538,0.153,2813.3,0.553,0.239,5403.8,0.5082,1.168,-1,204,trend,0.435
down,1722111840000,2024-07-27T20:24:00.000000000,3205.57,-1.567,1,7.79,-5543.7,0.457,1.691,6.2797,1.8e-05,0.746,-3781.2,0.447,0.445,-4379.8,0.4386,1.379,-305.8,0.497,2.407,8327.8,0.5146,-0.454,21,-1,whipsaw,-1.971
up,1722113700000,2024-07-27T20:55:00.000000000,3249.06,1.564,1,12.16,3209.5,0.5011,1.695,9.5634,1.8e-05,-0.433,-223.3,0.427,0.849,5912.9,0.5687,0.965,4860.8,0.5296,0.974,-7145.4,0.5005,1.399,-1,16,trend,0.364
up,1722545760000,2024-08-01T20:56:00.000000000,3171.81,1.503,1,2.91,-6753.6,0.5186,1.6,3.931,0.0001,0.111,-795.4,0.5195,-0.209,-5580.0,0.4448,-0.149,-7115.4,0.458,0.172,-9207.6,0.4896,1.499,-1,90,trend,-5.0
down,1722607920000,2024-08-02T14:12:00.000000000,3125.0,-1.553,2,2.48,4231.1,0.4362,1.512,4.4959,7.8e-05,0.527,561.0,0.511,0.311,2327.5,0.4591,-0.769,10477.9,0.458,-3.571,1925.1,0.4407,-4.476,-1,33,trend,3.813
up,1722613440000,2024-08-02T15:44:00.000000000,3036.09,1.521,1,8.85,4566.6,0.5213,1.587,7.9079,7.8e-05,0.036,129.6,0.4662,0.096,406.2,0.4785,-0.076,-394.4,0.4819,0.078,-798.0,0.4891,0.412,234,-1,whipsaw,-2.234
down,1722634200000,2024-08-02T21:30:00.000000000,2967.76,-1.639,1,4.59,-973.8,0.4487,1.562,5.2955,3.8e-05,0.995,960.1,0.5797,1.52,979.0,0.5896,1.187,1453.8,0.558,1.248,3174.2,0.5239,-1.826,5,215,whipsaw,2.283
down,1722646500000,2024-08-03T00:55:00.000000000,2950.7,-1.561,1,2.94,322.8,0.454,1.747,3.4148,8.5e-05,0.462,-9357.5,0.4511,-0.824,-10780.6,0.4204,-0.3,-15931.6,0.4431,0.131,-13756.7,0.4868,-1.259,168,15,trend,1.194
down,1722700620000,2024-08-03T15:57:00.000000000,2938.89,-1.577,1,3.7,-1038.8,0.4114,1.713,4.9883,2.9e-05,0.01,825.3,0.4362,-0.051,415.2,0.4513,-0.602,4668.1,0.3999,0.174,5979.3,0.437,-2.072,-1,49,trend,3.834
down,1722719220000,2024-08-03T21:07:00.000000000,2866.6,-1.771,1,3.19,-1498.5,0.377,1.684,2.9803,4.8e-05,0.119,1255.0,0.4121,1.211,-1590.3,0.55,1.463,-4234.8,0.5498,1.813,-9056.3,0.5361,-0.265,12,-1,whipsaw,4.239
up,1722721140000,2024-08-03T21:39:00.000000000,2911.09,1.687,1,3.21,-4234.8,0.5563,1.567,3.7238,4.8e-05,0.165,-1135.1,0.5661,0.012,-4904.8,0.5297,0.234,-4821.5,0.5292,0.068,-5080.1,0.5323,0.389,237,-1,whipsaw,-6.104
down,1722782160000,2024-08-04T14:36:00.000000000,2867.11,-1.586,1,4.02,2249.5,0.4153,2.069,2.3797,1.6e-05,0.107,-2268.2,0.4053,-0.04,734.8,0.4692,-0.439,-1217.0,0.465,-1.147,-666.8,0.4643,-8.27,-1,50,trend,16.739
down,1722791400000,2024-08-04T17:10:00.000000000,2731.99,-3.368,1,11.95,-12166.5,0.4438,1.555,5.8072,6.8e-05,0.647,-4252.2,0.4872,0.313,-466.0,0.4833,-0.668,5333.4,0.4512,-0.936,12745.3,0.4805,-3.733,0,31,whipsaw,10.57
up,1722795240000,2024-08-04T18:14:00.000000000,2694.71,1.593,1,17.44,7411.9,0.5258,1.717,5.5893,6.8e-05,-0.062,-1904.5,0.4547,0.092,-3278.2,0.5135,0.349,-3093.5,0.5208,1.409,-10661.3,0.5257,2.896,-1,36,trend,-8.805
down,1722816720000,2024-08-05T00:12:00.000000000,2661.4,-1.54,3,3.67,-6728.0,0.4076,1.475,5.2238,-1.7e-05,1.089,-4367.1,0.4364,-0.148,-8049.8,0.438,-1.914,-9042.3,0.4245,-14.696,-25390.0,0.4386,-20.681,5,24,whipsaw,7.657
up,1722821880000,2024-08-05T01:38:00.000000000,2361.4,1.862,6,60.3,-45863.5,0.4675,1.592,49.7083,-1.7e-05,-1.099,-5222.5,0.4535,-0.787,-7897.8,0.4825,-2.289,-12081.6,0.4813,-3.464,1384.9,0.4912,1.06,5,159,whipsaw,5.963
down,1722833340000,2024-08-05T04:49:00.000000000,2344.5,-1.682,2,5.77,-5142.5,0.4704,1.716,6.5376,-1.7e-05,-0.277,247.9,0.4864,-1.83,-3079.6,0.4757,-1.983,-14051.1,0.4838,-0.253,-11934.0,0.5046,-7.869,173,13,trend,-6.301
