n,hit,net,per_year,pos_years,method,price,fast,slow,anchor,beats_base
122,46.7,-0.067,"{2024: np.float64(0.399), 2025: np.float64(-0.286), 2026: np.float64(-0.677)}",1,SMA,close,77,100,—,False
84,48.8,0.035,"{2024: np.float64(0.361), 2025: np.float64(-0.123), 2026: np.float64(-0.37)}",1,SMA,close,77,100,MA200,False
86,50.0,0.178,"{2024: np.float64(0.039), 2025: np.float64(0.502), 2026: np.float64(-0.183)}",2,SMA,close,77,200,—,True
77,49.4,0.056,"{2024: np.float64(0.062), 2025: np.float64(0.089), 2026: np.float64(-0.064)}",2,SMA,close,77,200,MA200,False
73,52.1,0.212,"{2024: np.float64(0.237), 2025: np.float64(-0.094), 2026: np.float64(0.911)}",2,SMA,close,89,100,—,True
81,51.9,0.213,"{2024: np.float64(0.401), 2025: np.float64(0.392), 2026: np.float64(-0.751)}",2,SMA,close,89,200,—,True
68,50.0,0.026,"{2024: np.float64(0.268), 2025: np.float64(0.041), 2026: None}",2,SMA,close,89,200,MA200,False
74,50.0,0.074,"{2024: np.float64(0.105), 2025: np.float64(0.285), 2026: np.float64(-0.684)}",2,SMA,close,100,200,—,False
64,48.4,0.067,"{2024: np.float64(0.057), 2025: np.float64(0.288), 2026: None}",2,SMA,close,100,200,MA200,False
716,53.5,-0.008,"{2024: np.float64(-0.117), 2025: np.float64(0.066), 2026: np.float64(0.105)}",2,EMA,close,7,12,—,False
378,55.0,0.044,"{2024: np.float64(-0.006), 2025: np.float64(0.028), 2026: np.float64(0.234)}",2,EMA,close,7,12,MA200,False
765,53.5,-0.003,"{2024: np.float64(-0.072), 2025: np.float64(0.075), 2026: np.float64(-0.008)}",1,EMA,close,7,13,—,False
403,55.1,0.136,"{2024: np.float64(0.157), 2025: np.float64(0.118), 2026: np.float64(0.127)}",3,EMA,close,7,13,MA200,True
778,54.1,-0.02,"{2024: np.float64(-0.094), 2025: np.float64(0.071), 2026: np.float64(-0.041)}",1,EMA,close,7,14,—,False
403,54.3,0.038,"{2024: np.float64(0.024), 2025: np.float64(0.067), 2026: np.float64(0.003)}",3,EMA,close,7,14,MA200,False
796,52.6,-0.096,"{2024: np.float64(-0.136), 2025: np.float64(-0.068), 2026: np.float64(-0.065)}",0,EMA,close,7,21,—,False
415,52.0,-0.13,"{2024: np.float64(-0.082), 2025: np.float64(-0.236), 2026: np.float64(0.042)}",1,EMA,close,7,21,MA200,False
672,50.9,-0.144,"{2024: np.float64(-0.157), 2025: np.float64(-0.182), 2026: np.float64(0.022)}",1,EMA,close,7,34,—,False
373,51.5,-0.096,"{2024: np.float64(0.069), 2025: np.float64(-0.281), 2026: np.float64(0.028)}",2,EMA,close,7,34,MA200,False
547,46.8,-0.267,"{2024: np.float64(-0.242), 2025: np.float64(-0.396), 2026: np.float64(0.122)}",1,EMA,close,7,55,—,False
326,43.9,-0.359,"{2024: np.float64(-0.266), 2025: np.float64(-0.575), 2026: np.float64(0.17)}",1,EMA,close,7,55,MA200,False
461,49.0,-0.209,"{2024: np.float64(-0.144), 2025: np.float64(-0.363), 2026: np.float64(0.142)}",1,EMA,close,7,77,—,False
292,49.0,-0.283,"{2024: np.float64(-0.169), 2025: np.float64(-0.48), 2026: np.float64(0.088)}",1,EMA,close,7,77,MA200,False
406,49.5,-0.178,"{2024: np.float64(-0.082), 2025: np.float64(-0.296), 2026: np.float64(-0.034)}",0,EMA,close,7,89,—,False
272,47.8,-0.357,"{2024: np.float64(-0.239), 2025: np.float64(-0.5), 2026: np.float64(-0.175)}",0,EMA,close,7,89,MA200,False
386,49.2,-0.212,"{2024: np.float64(-0.195), 2025: np.float64(-0.334), 2026: np.float64(0.173)}",1,EMA,close,7,100,—,False
268,47.0,-0.38,"{2024: np.float64(-0.295), 2025: np.float64(-0.546), 2026: np.float64(-0.001)}",0,EMA,close,7,100,MA200,False
269,51.7,-0.224,"{2024: np.float64(-0.126), 2025: np.float64(-0.376), 2026: np.float64(-0.062)}",0,EMA,close,7,200,—,False
269,51.7,-0.224,"{2024: np.float64(-0.126), 2025: np.float64(-0.376), 2026: np.float64(-0.062)}",0,EMA,close,7,200,MA200,False
83,71.1,0.912,"{2024: np.float64(0.961), 2025: np.float64(0.806), 2026: np.float64(1.054)}",3,EMA,close,12,14,—,True
51,70.6,0.696,"{2024: np.float64(1.107), 2025: np.float64(0.275), 2026: None}",2,EMA,close,12,14,MA200,True
